Models,Engine Size,Fuel,Engine Code,Years,
Ford Focus Mark 3 Van Body / Hatchback,1.6 litre,Petrol,"IQDB, JQDA, JQDB, JTDA, JTDB",2010 - 2019,
Ford Focus Mark 3 Van Body / Hatchback,1.5 litre,Petrol,"M8DA, M8DB, M9DA, M9DB",2014 - 2019,
Ford Focus Mark 3 Van Body / Hatchback,2.0 litre,Diesel,"T7DB, TYDA, UFDB",2010 - 2019,
Ford Focus Mark 3 Van Body / Hatchback,1.5 litre,Diesel,"XWDA, XWDB, XWDC, XWDD, XXDA, XXDB, XXDC",2014 - 2019,
Ford Focus Mark 3 Van Body / Hatchback,1.6 litre,Petrol/Ethanol,"XWDA, XWDB, XWDC, XWDD, XXDA, XXDB, XXDC, YUDA",2011 - 2014,
Ford Focus Mark 3 Van Body / Estate,1.0 litre,Petrol,"M1DA, M2DA",2012 - 2019,
Ford Focus Mark 3 Van Body / Estate,2.0 litre,Diesel,"M1DA, M2DA, T7DB",2014 - 2019,
Ford Focus Mark 3 Van Body / Estate,1.5 litre,Diesel,"XWDA, XWDB, XWDC, XWDD, XXDA, XXDB, XXDC",2014 - 2019,
Ford Fusion,1.3 litre,Petrol,BAJA,2001 - 2008,
Ford Galaxy Mark 1,2.0 litre,Petrol,"NSE, ZVSA",1995 - 2006,
Ford Galaxy Mark 1,1.9 litre,Diesel,"1Z, AFN, AHU, ANU, ASZ, AUY, AVG, BTB",1995 - 2006,
Ford Galaxy Mark 1,2.3 litre,Petrol,"E5SB, Y5B",1996 - 2006,
Ford Galaxy Mark 1,2.3 litre,Super unleaded (95),"E5SB, Y5B, E5SA",1997 - 2006,
Ford Galaxy Mark 1,2.8 litre,Petrol,"AAA, AMY, AYL",1995 - 2006,
Ford Galaxy Mark 1,2.0 litre,Diesel,"T7CI, T7CJ, T7CL, T8CG, T8CH, T8CI, T8CJ",2015 - 2018,
Ford Galaxy Mark 2,2.2 litre,Diesel,"KNWA, Q4BA, Q4WA",2008 - 2015,
Ford Galaxy Mark 2,1.8 litre,Diesel,"FFWA, QYWA",2006 - 2015,
Ford Galaxy Mark 2,1.6 litre,Petrol,"JTWA, JTWB",2010 - 2015,
Ford Galaxy Mark 2,1.6 litre,Diesel,"T1WA, T1WB",2011 - 2015,
Ford Galaxy Mark 2,2.0 litre,Petrol,"AOWA, AOWB, TNWA, TNWB",2006 - 2015,
Ford Galaxy Mark 2,2.0 litre,Petrol/Ethanol,"TBWA, TBWB",2006 - 2015,
Ford Galaxy Mark 2,2.3 litre,Petrol,"TBWA, TBWB, SEWA",2007 - 2015,
Ford Galaxy Mark 2,2.0 litre,Diesel,"AZWA, AZWC, KLWA, QXWA, QXWB, QXWC, TXWA, TYWA, UFWA, UKWA",2006 - 2015,
Ford Grand C-Max,1.6 litre,Petrol,"IQDA, IQDB, JQDA, JQDB, JTDA, JTDB, PNDA",2010 - 2019,
Ford Grand C-Max,1.0 litre,Petrol,"M1DA, M2DA, SFDA",2012 - 2019,
Ford Grand C-Max,1.6 litre,Diesel,"T1DA, T1DB, T3DA, T3DB",2010 - 2019,
Ford Grand C-Max Van,1.6 litre,Diesel,"T1DA, T1DB, T3DA, T3DB",2010 - 2019,
Ford Grand C-Max Van,1.0 litre,Petrol,"M1DA, M2DA, SFDA",2012 - 2019,
Ford Grand C-Max Van,1.5 litre,Petrol,"M1DA, M2DA, SFDA, M8DB",2014 - 2019,
Ford Grand C-Max Van,1.6 litre,Petrol,"JQDA, JQDB",2010 - 2019,
Ford Grand C-Max,2.0 litre,Diesel,"TXDB, TYDA, UFDB, UKDB",2010 - 2019,
Ford Grand C-Max Van,2.0 litre,Diesel,"T7DB, T8DE, TXDB, TYDA, UFDB",2010 - 2019,
Ford Grand C-Max Van,1.5 litre,Diesel,"XWDA, XWDB",2014 - 2019,
Ford Ka Mark 1,1.6 litre,Petrol,"CDB, CDC",2001 - 2008,
Ford Ka Mark 1,1.3 litre,Petrol,"A9A, A9B, BAA, J4D, J4K, J4M, J4N, J4P, J4S, JJB, JJD, JJF, JJG, JJH, JJL",1996 - 2008,
Ford Ka Van Mark 1,1.3 litre,Petrol,"BAA, J4D, J4K, J4M, J4N, J4P, J4S",1996 - 2008,
Ford Street Ka,1.6 litre,Petrol,"CDRA, CDRB",2003 - 2005,
Ford Ka Mark 2,1.2 litre,Petrol,"CDRA, CDRB, FP4",2008 - 2016,
Ford Ka Mark 2,1.2 litre,Diesel,"CDRA, CDRB, FP4, FD4",2008 - 2016,
Ford Ka+,1.2 litre,Petrol,"B2KA, YSKD, YSKE",2016 - Current,
Ford Kuga I,2.0 litre,Diesel,"G6DG, TXDA, UFDA, UKDA",2003 - 2014,
Ford Kuga I,2.5 litre,Petrol,"G6DG, TXDA, UFDA, UKDA, HYDB",2008 - 2012,
Ford Kuga II,2.0 litre,Diesel,"T7MA, T7MB, T8MA, T8MB, TXDA, TXMA, TYMA, UFMA, UKMA, XRMA, XRMB",2010 - 2019,
Ford Kuga II,1.5 litre,Petrol,"BNMA, M9MA",2016 - 2019,
Ford Kuga II,1.6 litre,Petrol,"JQMA, JQMB, JTMA",2013 - 2014,
Ford Kuga II Van,2.0 litre,Diesel,"T7MA, T7MB, T8MA, T8MB",2014 - 2019,
Ford Mondeo Mark 1,2.5 litre,Petrol,SEA,1994 - 2000,
Ford Mondeo Mark 1,2.0 litre,Petrol,"SEA, NGA",1993 - 2000,
Ford Mondeo Mark 1,1.6 litre,Petrol,"L1F, L1J",1993 - 2000,
Ford Mondeo Mark 1,1.8 litre,Petrol,"RKA, RKB",1993 - 2002,
Ford Mondeo Mark 1,1.8 litre,Diesel,"RFM, RFN",1993 - 2000,
Ford Mondeo Mark 2,1.8 litre,Diesel,"RFM, RFN, RFN",1993 - 2000,
Ford Mondeo Mark 2,1.8 litre,Petrol,"RKB, RKF, RKH, RKJ, RKK",1994 - 2000,
Ford Mondeo Mark 2,2.5 litre,Petrol,"SEB, SEC, SGA",1999 - 2001,
Ford Mondeo Mark 3,1.8 litre,Super unleaded (95),"CGBA, CGBB",2000 - 2007,
Ford Mondeo Mark 3,1.8 litre,Petrol,"CFBA, CHBA, CHBB",2000 - 2007,
Ford Mondeo Mark 3,2.0 litre,Diesel,"D5BA, D6BA, FMBA, HJBA, HJBB, HJBC, N7BA, SDBA",2000 - 2007,
Ford Mondeo Mark 3,2.0 litre,Super unleaded (95),"CJBA, CJBB",2000 - 2007,
Ford Mondeo Mark 3,2.5 litre,Super unleaded (95),"CJBA, CJBB, LCBD",2000 - 2007,
Ford Mondeo Mark 3,3.0 litre,Petrol,"MEBA, REBA",2002 - 2007,
Ford Mondeo Mark 3,2.2 litre,Diesel,"QJBA, QJBB, QJBC, QJBD",2004 - 2007,
Ford Mondeo Mark 4,2.2 litre,Diesel,"KNBA, Q4BA",2008 - 2015,
Ford Mondeo Mark 4,1.8 litre,Diesel,"FFBA, KHBA, QYBA",2007 - 2015,
Ford Mondeo Mark 4,2.5 litre,Petrol,"FFBA, KHBA, QYBA, HUBA",2007 - 2015,
Ford Mondeo Mark 4,2.3 litre,Petrol,"FFBA, KHBA, QYBA, HUBA, SEBA",2007 - 2015,
Ford Mondeo Mark 4,2.0 litre,Petrol,"AOBA, AOBC, TBBA, TBBB, TNBA, TPBA",2007 - 2015,
Ford Mondeo Mark 4,2.0 litre,Diesel,"AZBA, AZBC, KLBA, LPBA, QXBA, QXBB, TXBA, TYBA, UFBA, UKBA, UKBB",2007 - 2015,
Ford Mondeo Mark 4,1.6 litre,Diesel,"T1BA, T1BB, T1BC",2010 - 2015,
Ford Mondeo Mark 4,1.6 litre,Petrol,"JTBA, JTBB, KGBA, PNBA, RHBA",2007 - 2015,
Ford Mondeo Mark 5,1.6 litre,Diesel,"NGCA, U3CA",2014 - Current,
Ford Mondeo Mark 5,2.0 litre,Diesel,"T7CE, T8CC, T9CA",2014 - Current,
Ford Mondeo Mark 5,1.5 litre,Diesel,"UGCC, XUCA",2015 - Current,
Ford Mondeo Mark 5,1.0 litre,Petrol,"M1CA, M1CB",2015 - Current,
Ford Mondeo Mark 5,1.5 litre,Petrol,"UNCA, UNCB, UNCE, UNCF",2014 - Current,
Ford Mondeo Mark 5,2.0 litre,Petrol,"R9CB, R9CF, R9CH, TNCC, TNCD, TNCF, UACA",2013 - Current,
Ford Mondeo Mark 5,2.5 litre,Petrol,"R9CB, R9CF, R9CH, TNCC, TNCD, TNCF, UACA, S7CB",2015 - Current,
Ford MUSTANG,3.7 litre,Petrol,99M,2014 - Current,
Ford MUSTANG,2.5 litre,Diesel,,1969 - 2013,
Ford MUSTANG,2.3 litre,Petrol,"C23HD0D, N38H, N48H",2014 - 2019,
Ford MUSTANG,5.0 litre,Petrol,"C23HD0D, N38H, N48H, MF8F",2014 - Current,
Ford MUSTANG,5.0 litre,Petrol,"C23HD0D, N38H, N48H, MF8F, 50SDEM",2017 - 2019,
Ford MUSTANG,4.9 litre,Petrol,"C23HD0D, N38H, N48H, MF8F, 50SDEM, 99F",1990 - Current,
Ford Puma 1.7,1.7 litre,Petrol,"MHA,ÿMHB",1997 - 2002,
Ford Puma 1.4,1.4 litre,Petrol,"FHD,ÿFHF",1997 - 2000,
Ford Puma 1.6,1.6 litre,Petrol,"FHD, FHF, L1W",2000 - 2002,
Ford Ranger 2Wd,1.8 litre,Petrol,RKA,1993 - 2002,
Ford Ranger,2.5 litre,Diesel,"MD25TI, WL",1999 - 2011,
Ford Ranger 2Wd,2.5 litre,Diesel,"MD25TI, WL, WL-T",1998 - 2006,
Ford Ranger 4X4,2.2 litre,Diesel,"GBVAJQJ, GBVAJQW",2011 - Current,
Ford Ranger 4X4,2.5 litre,Diesel,"WL, WLAA",1999 - 2012,
Ford Ranger 2Wd,2.2 litre,Diesel,"GBVAJPF, GBVAJQJ, GBVAJQW",2011 - Current,
Ford Ranger,2.9 litre,Diesel,"GBVAJPF, GBVAJQJ, GBVAJQW, D29UYT",1999 - 2002,
Ford Ranger,2.5 litre,Petrol,"GBVAF, GBVAK, GBVAL",2011 - Current,
Ford Ranger,2.2 litre,Petrol,"GBVAF, GBVAK, GBVAL, F2Y4",2009 - 2012,
Ford Ranger 2Wd,3.0 litre,Diesel,"GBVAF, GBVAK, GBVAL, F2Y4, WEAT",- Current,
Ford Ranger,3.2 litre,Diesel,"GBVAF, GBVAK, GBVAL, F2Y4, WEAT, SAFA",2007 - 2014,
Ford Ranger 4X4,2.5 litre,Petrol,"GBVAF, GBVAK, GBVAL",2011 - Current,
Ford S-Max 1.8,1.8 litre,Diesel,"FFWA, QYWA",2006 - 2015,
Ford S-Max 2.5,2.5 litre,Petrol,"FFWA, QYWA, HUWA",2006 - 2014,
Ford S-Max 2.0,2.0 litre,Petrol/Ethanol,"TBWA, TBWB",2006 - 2015,
